Name,Variant,Procedure,Appropriateness Category,Relative Radiation Level,Comment
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms), and a desire to preserve fertility. Initial therapy.",Endometrial ablation,Usually Not Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms), and a desire to preserve fertility. Initial therapy.",Hysterectomy,Usually Not Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bowel, or bladder symptoms), and no desire for future fertility. Initial therapy.",Laparoscopic or open myomectomy,Usually Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bowel, or bladder symptoms), and no desire for future fertility. Initial therapy.",Medical management,Usually Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bowel, or bladder symptoms), and no desire for future fertility. Initial therapy.",MR-guided high-frequency focused ultrasound ablation,Usually Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bowel, or bladder symptoms), and no desire for future fertility. Initial therapy.",Uterine artery embolization,Usually Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bowel, or bladder symptoms), and no desire for future fertility. Initial therapy.",Hysterectomy,May Be Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bowel, or bladder symptoms), and no desire for future fertility. Initial therapy.",Hysteroscopic myomectomy,May Be Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bowel, or bladder symptoms), and no desire for future fertility. Initial therapy.",Endometrial ablation,Usually Not Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bowel, or bladder symptoms), and no desire for future fertility. Initial therapy.",Laparoscopic uterine artery occlusion,Usually Not Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids and concurrent adenomyosis, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms), and no desire for future fertility. Initial therapy.",Medical management,Usually Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids and concurrent adenomyosis, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms), and no desire for future fertility. Initial therapy.",Uterine artery embolization,Usually Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids and concurrent adenomyosis, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms), and no desire for future fertility. Initial therapy.",Hysterectomy,May Be Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids and concurrent adenomyosis, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms), and no desire for future fertility. Initial therapy.",MR-guided high-frequency focused ultrasound ablation,Usually Not Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids and concurrent adenomyosis, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms), and no desire for future fertility. Initial therapy.",Endometrial ablation,Usually Not Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with uterine fibroids and concurrent adenomyosis, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms), and no desire for future fertility. Initial therapy.1",Hysteroscopic myomectomy2,Usually Not Appropriate3,,
Management of Uterine Fibroids4,"Reproductive age patient with uterine fibroids and concurrent adenomyosis, symptomatic with heavy uterine bleeding5 or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms), and no desire for future fertility. Initial therapy.67",Laparoscopic or open myomectomy89,Usually Not Appropriate1011,,
Management of Uterine Fibroids1213,"Reproductive age patient with uterine fibroids and 14concurrent a15denomyosis, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms), and no desire for future fertility. Initial therapy.16",Laparoscopic uterine artery occlusion17,Usually Not Appropriate18,,
Management of Uterine Fibroids19,"Reproductive age p20atient with pedunculated submucosal uterine fibroids, symptomatic with heavy uterine bleeding. Initial therapy.21",Hysteroscopic myomectomy22,Usually Appropriate23,,
Management of Uterine Fibroids24,"Reproductive age patient with pedunculated submucosal uterine fibroids, symptomatic with heavy uterine ble25eding. Initial therapy.",Medical management,Usually Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with pedunculated submucosal uterine fibroids, symptomatic with heavy uterine bleeding. Initial therapy.",Uterine artery embolization,May Be Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with pedunculated submucosal uterine fibroids, symptomatic with heavy uterine bleeding. Initial therapy.",MR-guided high-frequency focused ultrasound ablation,May Be Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with pedunculated submucosal uterine fibroids, symptomatic with heavy uterine bleeding. Initial therapy.",Hysterectomy,Usually Not Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with pedunculated submucosal uterine fibroids, symptomatic with heavy uterine bleeding. Initial therapy.",Endometrial ablation,Usually Not Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with pedunculated submucosal uterine fibroids, symptomatic with heavy uterine bleeding. Initial therapy.",Laparoscopic or open myomectomy,Usually Not Appropriate,,
Management of Uterine Fibroids,"Reproductive age patient with pedunculated submucosal uterine fibroids, symptomatic with heavy uterine bleeding. Initial therapy.",Laparoscopic uterine artery occlusion,Usually Not Appropriate,,
Management of Uterine Fibroids,"Postmenopausal patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms). Negative endometrial biopsy. Next step.",Hysterectomy,Usually Appropriate,,
Management of Uterine Fibroids,"Postmenopausal patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms). Negative endometrial biopsy. Next step.",Laparoscopic or open myomectomy,May Be Appropriate,,
Management of Uterine Fibroids,"Postmenopausal patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms). Negative endometrial biopsy. Next step.",Uterine artery embolization,May Be Appropriate,,
Management of Uterine Fibroids,"Postmenopausal patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms). Negative endometrial biopsy. Next step.",Hysteroscopic myomectomy,May Be Appropriate,,
Management of Uterine Fibroids,"Postmenopausal patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms). Negative endometrial biopsy. Next step.",MR-guided high-frequency focused ultrasound ablation,Usually Not Appropriate,,
Management of Uterine Fibroids,"Postmenopausal patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms). Negative endometrial biopsy. Next step.",Endometrial ablation,Usually Not Appropriate,,
Management of Uterine Fibroids,"Postmenopausal patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms). Negative endometrial biopsy. Next step.",Laparoscopic uterine artery occlusion,Usually Not Appropriate,,
Management of Uterine Fibroids,"Postmenopausal patient with uterine fibroids, symptomatic with heavy uterine bleeding or bulk symptoms (eg, pressure, pain, fullness, bladder, or bowel symptoms). Negative endometrial biopsy. Next step.",Medical management,Usually Not Appropriate,,
Management of Uterine Fibroids,Reproductive age patient with uterine fibroids desiring pregnancy and experiencing reproductive dysfunction. Initial therapy.,Hysteroscopic myomectomy,Usually Appropriate,,
Management of Uterine Fibroids,Reproductive age patient with uterine fibroids desiring pregnancy and experiencing reproductive dysfunction. Initial therapy.,Laparoscopic or open myomectomy,Usually Appropriate,,
Management of Uterine Fibroids,Reproductive age patient with uterine fibroids desiring pregnancy and experiencing reproductive dysfunction. Initial therapy.,Uterine artery embolization,May Be Appropriate,,
Management of Uterine Fibroids,Reproductive age patient with uterine fibroids desiring pregnancy and experiencing reproductive dysfunction. Initial therapy.,Medical management,May Be Appropriate (Disagreement),,
Management of Uterine Fibroids,Reproductive age patient with uterine fibroids desiring pregnancy and experiencing reproductive dysfunction. Initial therapy.,MR-guided high-frequency focused ultrasound ablation,May Be Appropriate,,
Management of Uterine Fibroids,Reproductive age patient with uterine fibroids desiring pregnancy and experiencing reproductive dysfunction. Initial therapy.,Laparoscopic uterine artery occlusion,Usually Not Appropriate,,
Management of Uterine Fibroids,Reproductive age patient with uterine fibroids desiring pregnancy and experiencing reproductive dysfunction. Initial therapy.,Endometrial ablation,Usually Not Appropriate,,
Management of Uterine Fibroids,Reproductive age patient with uterine fibroids desiring pregnancy and experiencing reproductive dysfunction. Initial therapy.,Hysterectomy,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic vertebral compression fracture (VCF) identified on radiographs. No known malignancy. Next imaging study.,MRI spine area of interest without IV contrast,Usually Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic vertebral compression fracture (VCF) identified on radiographs. No known malignancy. Next imaging study.,CT spine area of interest without IV contrast,Usually Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic vertebral compression fracture (VCF) identified on radiographs. No known malignancy. Next imaging study.,Bone scan whole body,May Be Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic vertebral compression fracture (VCF) identified on radiographs. No known malignancy. Next imaging study.,SPECT or SPECT/CT spine area of interest,May Be Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic vertebral compression fracture (VCF) identified on radiographs. No known malignancy. Next imaging study.,CT spine area of interest with IV contrast,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic vertebral compression fracture (VCF) identified on radiographs. No known malignancy. Next imaging study.,CT spine area of interest without and with IV contrast,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic vertebral compression fracture (VCF) identified on radiographs. No known malignancy. Next imaging study.,MRI spine area of interest with IV contrast,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic vertebral compression fracture (VCF) identified on radiographs. No known malignancy. Next imaging study.,MRI spine area of interest without and with IV contrast,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic vertebral compression fracture (VCF) identified on radiographs. No known malignancy. Next imaging study.,CT myelography spine area of interest,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic vertebral compression fracture (VCF) identified on radiographs. No known malignancy. Next imaging study.,FDG-PET/CT skull base to mid-thigh,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,MRI spine area of interest without and with IV contrast,Usually Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,CT spine area of interest without IV contrast,Usually Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,MRI spine area of interest without IV contrast,Usually Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,FDG-PET/CT skull base to mid-thigh,May Be Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,Bone scan whole body,May Be Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,Image-guided biopsy spine area of interest,May Be Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,MRI spine area of interest with IV contrast,May Be Appropriate (Disagreement),,
Management of Vertebral Compression Fractures,New symptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,SPECT or SPECT/CT spine area of interest,May Be Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,CT myelography spine area of interest,May Be Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,CT spine area of interest with IV contrast,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,CT spine area of interest without and with IV contrast,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New back pain. Previously treated VCF or multiple VCFs. Initial Imaging.,CT spine area of interest without IV contrast,Usually Appropriate,,
Management of Vertebral Compression Fractures,New back pain. Previously treated VCF or multiple VCFs. Initial Imaging.,MRI spine area of interest without IV contrast,Usually Appropriate,,
Management of Vertebral Compression Fractures,New back pain. Previously treated VCF or multiple VCFs. Initial Imaging.,MRI spine area of interest without and with IV contrast,May Be Appropriate,,
Management of Vertebral Compression Fractures,New back pain. Previously treated VCF or multiple VCFs. Initial Imaging.,Bone scan whole body,May Be Appropriate,,
Management of Vertebral Compression Fractures,New back pain. Previously treated VCF or multiple VCFs. Initial Imaging.,FDG-PET/CT skull base to mid-thigh,May Be Appropriate,,
Management of Vertebral Compression Fractures,New back pain. Previously treated VCF or multiple VCFs. Initial Imaging.,SPECT or SPECT/CT spine area of interest,May Be Appropriate,,
Management of Vertebral Compression Fractures,New back pain. Previously treated VCF or multiple VCFs. Initial Imaging.,CT myelography spine area of interest,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New back pain. Previously treated VCF or multiple VCFs. Initial Imaging.,CT spine area of interest with IV contrast,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New back pain. Previously treated VCF or multiple VCFs. Initial Imaging.,CT spine area of interest without and with IV contrast,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New back pain. Previously treated VCF or multiple VCFs. Initial Imaging.,MRI spine area of interest with IV contrast,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,Asymptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,MRI spine area of interest without and with IV contrast,Usually Appropriate,,
Management of Vertebral Compression Fractures,Asymptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,CT spine area of interest without IV contrast,Usually Appropriate,,
Management of Vertebral Compression Fractures,Asymptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,MRI spine area of interest without IV contrast,Usually Appropriate,,
Management of Vertebral Compression Fractures,Asymptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,Bone scan whole body,May Be Appropriate,,
Management of Vertebral Compression Fractures,Asymptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,FDG-PET/CT skull base to mid-thigh,May Be Appropriate,,
Management of Vertebral Compression Fractures,Asymptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,Image-guided biopsy spine area of interest,May Be Appropriate,,
Management of Vertebral Compression Fractures,Asymptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,SPECT or SPECT/CT spine area of interest,May Be Appropriate,,
Management of Vertebral Compression Fractures,Asymptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,CT myelography spine area of interest,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,Asymptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,CT spine area of interest with IV contrast,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,Asymptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,CT spine area of interest without and with IV contrast,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,Asymptomatic VCF identified on radiographs. History of malignancy. Next imaging study.,MRI spine area of interest with IV contrast,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,"Asymptomatic, osteoporotic VCF. Initial treatment.",Medical management only,Usually Appropriate,,
Management of Vertebral Compression Fractures,"Asymptomatic, osteoporotic VCF. Initial treatment.",Percutaneous vertebral augmentation,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,"Asymptomatic, osteoporotic VCF. Initial treatment.",Surgical consultation,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,"Asymptomatic, osteoporotic VCF. Initial treatment.",Percutaneous ablation spine,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,"Asymptomatic, osteoporotic VCF. Initial treatment.",Radiation oncology consultation,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,Symptomatic osteoporotic VCF with bone marrow edema or intravertebral cleft. Initial treatment.,Medical management only,Usually Appropriate,,
Management of Vertebral Compression Fractures,Symptomatic osteoporotic VCF with bone marrow edema or intravertebral cleft. Initial treatment.,Percutaneous vertebral augmentation,Usually Appropriate,,
Management of Vertebral Compression Fractures,Symptomatic osteoporotic VCF with bone marrow edema or intravertebral cleft. Initial treatment.,Surgical consultation,May Be Appropriate,,
Management of Vertebral Compression Fractures,Symptomatic osteoporotic VCF with bone marrow edema or intravertebral cleft. Initial treatment.,Percutaneous ablation spine,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,Symptomatic osteoporotic VCF with bone marrow edema or intravertebral cleft. Initial treatment.,Radiation oncology consultation,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,Symptomatic osteoporotic VCF with bone marrow edema or intravertebral cleft. Initial treatment.,Systemic radionuclide therapy,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF. History of prior vertebroplasty or surgery. Initial treatment.,Percutaneous vertebral augmentation,Usually Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF. History of prior vertebroplasty or surgery. Initial treatment.,Medical management only,Usually Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF. History of prior vertebroplasty or surgery. Initial treatment.,Surgical consultation,May Be Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF. History of prior vertebroplasty or surgery. Initial treatment.,Percutaneous ablation spine,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF. History of prior vertebroplasty or surgery. Initial treatment.,Radiation oncology consultation,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,New symptomatic VCF. History of prior vertebroplasty or surgery. Initial treatment.,Systemic radionuclide therapy,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,"Benign VCF with worsening pain, deformity, or pulmonary dysfunction. Initial treatment.",Percutaneous vertebral augmentation,Usually Appropriate,,
Management of Vertebral Compression Fractures,"Benign VCF with worsening pain, deformity, or pulmonary dysfunction. Initial treatment.",Surgical consultation,Usually Appropriate,,
Management of Vertebral Compression Fractures,"Benign VCF with worsening pain, deformity, or pulmonary dysfunction. Initial treatment.",Medical management only,May Be Appropriate,,
Management of Vertebral Compression Fractures,"Benign VCF with worsening pain, deformity, or pulmonary dysfunction. Initial treatment.",Percutaneous ablation spine,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,"Benign VCF with worsening pain, deformity, or pulmonary dysfunction. Initial treatment.",Radiation oncology consultation,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,"Benign VCF with worsening pain, deformity, or pulmonary dysfunction. Initial treatment.",Systemic radionuclide therapy,Usually Not Appropriate,,
Management of Vertebral Compression Fractures,Pathological VCF with ongoing or increasing mechanical pain. Initial treatment.,Radiation oncology consultation,Usually Appropriate,,
Management of Vertebral Compression Fractures,Pathological VCF with ongoing or increasing mechanical pain. Initial treatment.,Surgical consultation,Usually Appropriate,,
Management of Vertebral Compression Fractures,Pathological VCF with ongoing or increasing mechanical pain. Initial treatment.,Percutaneous ablation spine,Usually Appropriate,,
Management of Vertebral Compression Fractures,Pathological VCF with ongoing or increasing mechanical pain. Initial treatment.,Percutaneous vertebral augmentation,Usually Appropriate,,
Management of Vertebral Compression Fractures,Pathological VCF with ongoing or increasing mechanical pain. Initial treatment.,Medical management only,May Be Appropriate,,
Management of Vertebral Compression Fractures,Pathological VCF with ongoing or increasing mechanical pain. Initial treatment.,Systemic radionuclide therapy,May Be Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with dilated bile ducts from choledocholithiasis.,Endoscopic internal biliary catheter (removable plastic stent),Usually Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with dilated bile ducts from choledocholithiasis.,Percutaneous internal/external biliary catheter,May Be Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with dilated bile ducts from choledocholithiasis.,Surgery,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with dilated bile ducts from choledocholithiasis.,Medical management only,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with dilated bile ducts from choledocholithiasis.,Permanent biliary metallic stent,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with dilated bile ducts from choledocholithiasis.,Removable biliary covered stent,May Be Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with dilated bile ducts from choledocholithiasis.,Endoscopic US-guided biliary drainage (EUS-BD),May Be Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with elevated bilirubin and suspected sclerosing cholangitis.,Endoscopic internal biliary catheter (removable plastic stent),Usually Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with elevated bilirubin and suspected sclerosing cholangitis.,Percutaneous internal/external biliary catheter,May Be Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with elevated bilirubin and suspected sclerosing cholangitis.,Surgery,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with elevated bilirubin and suspected sclerosing cholangitis.,Medical management only,May Be Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with elevated bilirubin and suspected sclerosing cholangitis.,Permanent biliary metallic stent,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with elevated bilirubin and suspected sclerosing cholangitis.,Removable biliary covered stent,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a liver transplant recipient with elevated bilirubin and suspected biliary anastomotic stenosis or bile leak, with no dilated ducts.",Endoscopic internal biliary catheter (removable plastic stent),Usually Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a liver transplant recipient with elevated bilirubin and suspected biliary anastomotic stenosis or bile leak, with no dilated ducts.",Percutaneous internal/external biliary catheter,Usually Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a liver transplant recipient with elevated bilirubin and suspected biliary anastomotic stenosis or bile leak, with no dilated ducts.",Surgery,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a liver transplant recipient with elevated bilirubin and suspected biliary anastomotic stenosis or bile leak, with no dilated ducts.",Medical management only,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a liver transplant recipient with elevated bilirubin and suspected biliary anastomotic stenosis or bile leak, with no dilated ducts.",Permanent biliary metallic stent,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a liver transplant recipient with elevated bilirubin and suspected biliary anastomotic stenosis or bile leak, with no dilated ducts.",Removable biliary covered stent,May Be Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a liver transplant recipient with elevated bilirubin and suspected biliary anastomotic stenosis or bile leak, with no dilated ducts.",Endoscopic US-guided biliary drainage (EUS-BD),Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with bile leak and dilated bile ducts following laparoscopic cholecystectomy.,Endoscopic internal biliary catheter (removable plastic stent),Usually Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with bile leak and dilated bile ducts following laparoscopic cholecystectomy.,Percutaneous internal/external biliary catheter,Usually Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with bile leak and dilated bile ducts following laparoscopic cholecystectomy.,Surgery,May Be Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with bile leak and dilated bile ducts following laparoscopic cholecystectomy.,Medical management only,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with bile leak and dilated bile ducts following laparoscopic cholecystectomy.,Permanent biliary metallic stent,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with bile leak and dilated bile ducts following laparoscopic cholecystectomy.,Removable biliary covered stent,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with bile leak and dilated bile ducts following laparoscopic cholecystectomy.,Endoscopic US-guided biliary drainage (EUS-BD),Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with dilated bile ducts and suspected biliary sepsis or acute cholangitis.,Endoscopic internal biliary catheter (removable plastic stent),Usually Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with dilated bile ducts and suspected biliary sepsis or acute cholangitis.,Percutaneous internal/external biliary catheter,Usually Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with dilated bile ducts and suspected biliary sepsis or acute cholangitis.,Surgery,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with dilated bile ducts and suspected biliary sepsis or acute cholangitis.,Medical management only,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with dilated bile ducts and suspected biliary sepsis or acute cholangitis.,Permanent biliary metallic stent,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with dilated bile ducts and suspected biliary sepsis or acute cholangitis.,Removable biliary covered stent,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,Initial therapeutic procedure for a patient with dilated bile ducts and suspected biliary sepsis or acute cholangitis.,Endoscopic US-guided biliary drainage (EUS-BD),May Be Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a patient with malignant common bile duct obstruction (eg, pancreatic carcinoma).",Endoscopic internal biliary catheter (removable plastic stent),Usually Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a patient with malignant common bile duct obstruction (eg, pancreatic carcinoma).",Percutaneous internal/external biliary catheter,Usually Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a patient with malignant common bile duct obstruction (eg, pancreatic carcinoma).",Surgery,May Be Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a patient with malignant common bile duct obstruction (eg, pancreatic carcinoma).",Medical management only,Usually Not Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a patient with malignant common bile duct obstruction (eg, pancreatic carcinoma).",Permanent biliary metallic stent,May Be Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a patient with malignant common bile duct obstruction (eg, pancreatic carcinoma).",Removable biliary covered stent,May Be Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a patient with malignant common bile duct obstruction (eg, pancreatic carcinoma).",Endoscopic US-guided biliary drainage (EUS-BD),May Be Appropriate,,
Radiologic Management of Biliary Obstruction,"Initial therapeutic procedure for a patient with hilar biliary obstruction from malignant etiology (eg, Klatskin tumor).",Endoscopic internal biliary catheter (removable plastic stent),May Be Appropriate,,
